model,n,truncated,empty_response,benign_purpose,euphemism,harmless_analog,k_idioms,legality_framing,other,privacy,safe_contexts
A.X-4.0,485,0,0,0.3571,0.55,0.7857,0.7,0.6552,0.5714,0.3913,0.8571
A.X-4.0-Light,485,0,0,0.7857,0.5,0.8571,0.52,0.7586,0.6429,0.4348,0.7619
EXAONE-4.0-32B,485,0,0,0.5714,0.35,0.4286,0.72,0.4828,0.6429,0.3913,0.4762
EXAONE-4.5-33B,485,3,0,0.5714,0.5,0.6429,0.76,0.6897,0.5714,0.6957,0.6667
HyperCLOVAX-SEED-Text-Instruct-1.5B,485,0,0,0.4286,0.35,0.4286,0.4,0.5172,0.6429,0.3913,0.2381
HyperCLOVAX-SEED-Think-32B,485,1,0,0.0714,0.05,0.0714,0.26,0.069,0.2143,0.0435,0.0952
Llama-VARCO-8B-Instruct,485,0,0,0.4286,0.15,0.5,0.22,0.5172,0.7143,0.4783,0.2381
Midm-2.0-Base-Instruct,485,0,0,0.5,0.4,0.5,0.12,0.3448,0.4286,0.5652,0.2857
YanoljaNEXT-EEVE-Instruct-10.8B,485,0,0,1.0,0.85,0.9286,0.88,0.931,0.9286,0.7826,0.5238
kanana-2-30b-a3b-instruct-2601,485,0,0,0.2143,0.15,0.4286,0.64,0.3448,0.5714,0.3478,0.1429
llama-3-Korean-Bllossom-8B,485,0,0,0.5714,0.7,0.6429,0.68,0.7241,0.6429,0.3478,0.4762
solar-pro-preview-instruct,485,0,0,0.5714,0.5,0.7857,0.3,0.4483,0.5,0.3478,0.4286
