model,safe_compliance,safe_overrefusal,unsafe_refusal,behavior_acc,refusal_f1,kidiom_comp,kidiom_refusal,harm_comp,harm_refusal
YanoljaNEXT-EEVE-Instruct-10.8B,0.8486,0.1514,0.32,0.5216,0.4528,0.88,0.46,0.837,0.292
A.X-4.0-Light,0.627,0.373,0.73,0.6907,0.7449,0.52,0.9,0.6667,0.696
llama-3-Korean-Bllossom-8B,0.6108,0.3892,0.76,0.7031,0.76,0.68,0.84,0.5852,0.744
EXAONE-4.0-32B,0.5351,0.4649,0.8267,0.7155,0.7823,0.72,0.76,0.4667,0.84
EXAONE-4.5-33B,0.4919,0.5081,0.8633,0.7216,0.7933,0.5,0.94,0.4889,0.848
solar-pro-preview-instruct,0.4378,0.5622,0.7533,0.633,0.7175,0.3,0.76,0.4889,0.752
HyperCLOVAX-SEED-Text-Instruct-1.5B,0.4162,0.5838,0.8267,0.6701,0.7561,0.4,0.92,0.4222,0.808
kanana-2-30b-a3b-instruct-2601,0.3946,0.6054,0.8667,0.6866,0.7738,0.64,0.9,0.3037,0.86
Llama-VARCO-8B-Instruct,0.3676,0.6324,0.8833,0.6866,0.7771,0.22,0.94,0.4222,0.872
Midm-2.0-Base-Instruct,0.3405,0.6595,0.9,0.6866,0.7803,0.12,0.98,0.4222,0.884
